age_and_district,both_sexes,district,gender,population
5-9,51554,Gisagara,female,25623
5-9,51554,Gisagara,male,-25931
10-14,52294,Gisagara,female,25734
10-14,52294,Gisagara,male,-26560
15-19,45335,Gisagara,female,21904
15-19,45335,Gisagara,male,-23431
20-24,30363,Gisagara,female,15508
20-24,30363,Gisagara,male,-14855
25-29,25907,Gisagara,female,13527
25-29,25907,Gisagara,male,-12380
30-34,22806,Gisagara,female,12031
30-34,22806,Gisagara,male,-10775
35-39,24086,Gisagara,female,12991
35-39,24086,Gisagara,male,-11095
40-44,22040,Gisagara,female,12042
40-44,22040,Gisagara,male,-9998
45-49,13882,Gisagara,female,8180
45-49,13882,Gisagara,male,-5702
50-54,12622,Gisagara,female,7448
50-54,12622,Gisagara,male,-5174
55-59,11499,Gisagara,female,6794
55-59,11499,Gisagara,male,-4705
60-64,11104,Gisagara,female,6753
60-64,11104,Gisagara,male,-4351
65-69,7971,Gisagara,female,4993
65-69,7971,Gisagara,male,-2978
70-74,5768,Gisagara,female,3703
70-74,5768,Gisagara,male,-2065
75-79,2317,Gisagara,female,1544
75-79,2317,Gisagara,male,-773
80-84,1582,Gisagara,female,1079
80-84,1582,Gisagara,male,-503
85+,1328,Gisagara,female,904
85+,1328,Gisagara,male,-424
0-4,42258,Nyaruguru,female,21102
0-4,42258,Nyaruguru,male,-21156
5-9,42777,Nyaruguru,female,21726
5-9,42777,Nyaruguru,male,-21051
10-14,40804,Nyaruguru,female,20464
10-14,40804,Nyaruguru,male,-20340
15-19,39429,Nyaruguru,female,18914
15-19,39429,Nyaruguru,male,-20515
20-24,24966,Nyaruguru,female,12709
20-24,24966,Nyaruguru,male,-12257
25-29,20445,Nyaruguru,female,10618
25-29,20445,Nyaruguru,male,-9827
30-34,17852,Nyaruguru,female,9400
30-34,17852,Nyaruguru,male,-8452
35-39,17800,Nyaruguru,female,9683
35-39,17800,Nyaruguru,male,-8117
40-44,15942,Nyaruguru,female,8798
40-44,15942,Nyaruguru,male,-7144
45-49,11195,Nyaruguru,female,6609
45-49,11195,Nyaruguru,male,-4586
50-54,10275,Nyaruguru,female,5927
50-54,10275,Nyaruguru,male,-4348
55-59,8266,Nyaruguru,female,4731
55-59,8266,Nyaruguru,male,-3535
60-64,9017,Nyaruguru,female,5153
60-64,9017,Nyaruguru,male,-3864
65-69,6376,Nyaruguru,female,3698
65-69,6376,Nyaruguru,male,-2678
70-74,4855,Nyaruguru,female,2878
70-74,4855,Nyaruguru,male,-1977
75-79,2324,Nyaruguru,female,1508
75-79,2324,Nyaruguru,male,-816
80-84,1828,Nyaruguru,female,1108
80-84,1828,Nyaruguru,male,-720
85+,1717,Nyaruguru,female,1120
85+,1717,Nyaruguru,male,-597
0-4,46777,Huye,female,23257
0-4,46777,Huye,male,-23520
5-9,46328,Huye,female,23119
5-9,46328,Huye,male,-23209
10-14,44260,Huye,female,22158
10-14,44260,Huye,male,-22102
15-19,40685,Huye,female,19751
15-19,40685,Huye,male,-20934
20-24,29902,Huye,female,14621
20-24,29902,Huye,male,-15281
25-29,26618,Huye,female,12901
25-29,26618,Huye,male,-13717
30-34,25264,Huye,female,12449
30-34,25264,Huye,male,-12815
35-39,25934,Huye,female,12938
35-39,25934,Huye,male,-12996
40-44,23127,Huye,female,11489
40-44,23127,Huye,male,-11638
45-49,14971,Huye,female,7981
45-49,14971,Huye,male,-6990
50-54,13587,Huye,female,7304
50-54,13587,Huye,male,-6283
55-59,11869,Huye,female,6426
55-59,11869,Huye,male,-5443
60-64,11365,Huye,female,6106
60-64,11365,Huye,male,-5259
65-69,8676,Huye,female,4870
65-69,8676,Huye,male,-3806
70-74,6336,Huye,female,3697
70-74,6336,Huye,male,-2639
75-79,2694,Huye,female,1672
75-79,2694,Huye,male,-1022
80-84,1894,Huye,female,1219
80-84,1894,Huye,male,-675
85+,1613,Huye,female,1083
85+,1613,Huye,male,-530
0-4,43997,Nyamagabe,female,22060
0-4,43997,Nyamagabe,male,-21937
5-9,44083,Nyamagabe,female,21984
5-9,44083,Nyamagabe,male,-22099
10-14,45458,Nyamagabe,female,22956
10-14,45458,Nyamagabe,male,-22502
15-19,45496,Nyamagabe,female,22118
15-19,45496,Nyamagabe,male,-23378
20-24,32595,Nyamagabe,female,16642
20-24,32595,Nyamagabe,male,-15953
25-29,25877,Nyamagabe,female,13567
25-29,25877,Nyamagabe,male,-12310
30-34,22561,Nyamagabe,female,12141
30-34,22561,Nyamagabe,male,-10420
35-39,23596,Nyamagabe,female,12896
35-39,23596,Nyamagabe,male,-10700
40-44,18950,Nyamagabe,female,10502
40-44,18950,Nyamagabe,male,-8448
45-49,13771,Nyamagabe,female,7950
45-49,13771,Nyamagabe,male,-5821
50-54,12933,Nyamagabe,female,7285
50-54,12933,Nyamagabe,male,-5648
55-59,10879,Nyamagabe,female,6109
55-59,10879,Nyamagabe,male,-4770
60-64,11603,Nyamagabe,female,6638
60-64,11603,Nyamagabe,male,-4965
65-69,7643,Nyamagabe,female,4404
65-69,7643,Nyamagabe,male,-3239
